token,address,verified_identity,evidence,erc20_transfers
LINK+UNI,0x3611b82c7b13e72b26eb0e9be0613bee7a45ac7c,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者无明确协议归属，ERC-20转账超1万笔，与Balancer/Stargate等DeFi协议Swap交互）,>10000
LINK,0x0e16d4d4281c65f37da7481c57d5d4953d64c74d,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，与Balancer/Bitget DEX Aggregator/LI.FI等多协议路由交互）,>10000
LINK,0x50d3865a63d52c0a54e4679949647ea752107390,MEV Bot,"标签（Etherscan Name Tag ""MEV Bot: 0x50d3...390"" + #MEV Bot标签）",>10000
LINK,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，代理合约特征，ERC-20转账超1万笔，经LI.FI/Uniswap V4等路径路由）,>10000
LINK,0x365084b05fa7d5028346bd21d842ed0601bab5b8,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，代理合约特征，ERC-20转账超1万笔，与Uniswap V4/V3/Fluid等DEX交互）,>10000
LINK,0x09ad820aac5779683b481c4674208a4e1b024afa,Unlabelled routing contract,行为推断（无Name Tag，源码仅Similar Match验证且有构造函数警告，部署者无明确归属，ERC-20转账超1万笔，与Curve/Uniswap/Fly DEX Aggregator交互）,>10000
LINK,0x595c31c6108babc43caa81ab759a4aae91801a82,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，经Bitget DEX Aggregator/Bebop Blend等聚合器Swap）,>10000
LINK,0x420cafeaa7a2e44a404340397ac45b2f55fc8f73,MEV Bot,"行为推断（无Name Tag、无验证源码，25,129笔交易全部由单一调用者通过未知hex选择器触发，高频套利特征）",>10000
LINK,0x2c242c8da2c5b25191bb6d2d88b8703446d28fc6,MEV Bot,"行为推断（无Name Tag、无验证源码，131,347笔交易，WETH/WBTC跨Uniswap V3/V4池反复套利，部署者即调用者）",>10000
LINK,0x88cc0800464fcef3e643a369e8a0532990995eee,MEV Bot,"行为推断（无Name Tag、无验证源码，代理合约，110,553笔交易，持续提现至KuCoin存款地址，部署者即主要调用者）",9993
LINK,0x75cf59a923a2649b84fa569bb97ea9694b6f26e4,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，方法Aggregate与Uniswap V2/V3等DEX高频交互）,>10000
LINK,0xb9e9e795fd530314663f779f7f57950c6bc1eb4b,Unlabelled routing contract,标签/行为推断（Etherscan标记为Compromised有漏洞，无验证源码，ERC-20转账超1万笔，方法Aggregate与Uniswap/Curve等DEX交互）,>10000
LINK,0x0000000000efa780a8e6f50fc5de9c1497bfd175,MEV Bot,"标签（Etherscan Name Tag ""MEV Bot: 0x0000...175"" + #MEV Bot标签）",>10000
LINK,0x818acad67efa6a1b3936bd682b5a6bc9dcd864f8,MEV Bot,行为推断（无Name Tag、无验证源码，部署者带Etherscan MEV Builder标签，执行WETH/SWELL/cvxCRV链式套利swap）,2401
UNI,0x74de5d4fcbf63e00296fd95d33236b9794016631,MetaMask: Swaps Spender,"标签/源码（Etherscan Name Tag ""MetaMask: Swaps Spender"" + 已验证源码(Proxy) + #MetaMask标签）",>10000
UNI,0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,1inch: Aggregation Executor 5,"标签（Etherscan Name Tag ""1inch: Aggregation Executor 5"" + #1inch标签）",>10000
NEITHER,0xd78d199f8c402e7b5cc2abe278df0412400a3bae,Mayan: Swift v2 Destination,"标签/源码（Etherscan Name Tag ""Mayan: Swift v2 Destination"" + 已验证源码 + #Mayan标签）",>10000
NEITHER,0x51e040bbf50cd966d2b8dab275f648a331c2ef49,Binance Deposit,"标签（Etherscan Name Tag ""Binance Dep: 0x51e040...c2EF49"" + #Binance标签 + Deposit Address标签，EOA非合约）",>10000
LINK+UNI,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI: LiFi Diamond,"标签/源码（Etherscan Name Tag ""LI.FI: LiFi Diamond"" + 已验证源码(Proxy) + #LI.FI标签）",>10000
LINK+UNI,0x225a38bc71102999dd13478bfabd7c4d53f2dc17,Rizzolver: Uniswap X,"标签（Etherscan Name Tag ""Rizzolver: Uniswap X"" + #DeFi标签）",>10000
LINK+UNI,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,Uniswap V4: Universal Router,"标签/源码（Etherscan Name Tag ""Uniswap V4: Universal Router"" + 已验证源码 + 部署者为Uniswap V4: Deployer + #Uniswap/#DEX/#Router标签）",>10000
LINK+UNI,0x4c82d1fbfe28c977cbb58d8c7ff8fcf9f70a2cca,Uniswap: Universal Router (v2 ChainedActions),源码（已验证源码Exact Match，合约名UniversalRouter，EIP712('UniversalRouter'|'2')，导入Uniswap V4模块，无公开Name Tag）,>10000
LINK+UNI,0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,Bitget: DEX Aggregator,"标签（Etherscan Name Tag ""Bitget: DEX Aggregator"" + #Bitget标签 + Exchange标签，基于GitHub仓库标记）",>10000
LINK,0x111111125421ca6dc452d289314280a0f8842a65,1inch: Aggregation Router V6,"标签/源码（Etherscan Name Tag ""1inch: Aggregation Router V6"" + 已验证源码 + #1inch/#Router标签）",>10000
LINK,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,0x Protocol: MainnetSettler,标签/源码（已验证源码Exact Match，合约名MainnetSettler，部署者为deployer.zeroexprotocol.eth，可追溯至0x Protocol，无公开Name Tag）,>10000
LINK,0x6a000f20005980200259b80c5102003040001068,Velora: Augustus V6.2,"标签/源码（Etherscan Name Tag ""Velora: Augustus V6.2"" + 已验证源码(Proxy) + 部署者为Velora: Deployer 1 + #Velora标签）",>10000
LINK,0x28b1dc1a5e3699a428bc51d234dfab7c9cb2a183,OKX Labs: DEX Router 2,"标签/源码（Etherscan Name Tag ""OKX Labs: DEX Router 2"" + 已验证源码 + #OKX Labs/#DEX/#Router标签）",>10000
LINK,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,"标签（Etherscan Name Tag ""KyberSwap: Aggregator Executor V3"" + #KyberSwap/#DEX标签，代理合约）",>10000
